"ddg.type","ddg.num","ddg.name","ddg.value","ddg.scope","ddg.from.env","ddg.time","ddg.loc","ddg.current"
"URL",1,"http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-12-ne-ants-1864-2011.csv","\""http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-12-ne-ants-1864-2011.csv\""","R_GlobalEnv",FALSE,"","",TRUE
"Snapshot",2,"x","./eepOdy_ddg/data/2-x-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-13T15.33.55EDT","",TRUE
"URL",3,"http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-07-ant-sites-1999-2000.csv","\""http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-07-ant-sites-1999-2000.csv\""","R_GlobalEnv",FALSE,"","",TRUE
"Snapshot",4,"sites","./eepOdy_ddg/data/4-sites.csv","R_GlobalEnv",FALSE,"2016-10-13T15.33.55EDT","",TRUE
"URL",5,"http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-09-nantucket-sites-2004-09.csv","\""http://harvardforest.fas.harvard.edu/data/p14/hf147/hf147-09-nantucket-sites-2004-09.csv\""","R_GlobalEnv",FALSE,"","",TRUE
"Snapshot",6,"nant.sites","./eepOdy_ddg/data/6-nant.sites.csv","R_GlobalEnv",FALSE,"2016-10-13T15.33.55EDT","",TRUE
"Snapshot",7,"x","./eepOdy_ddg/data/7-x-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-13T15.33.55EDT","",TRUE
"Snapshot",8,"x","./eepOdy_ddg/data/8-x-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-13T15.33.55EDT","",TRUE
"Snapshot",9,"x","./eepOdy_ddg/data/9-x-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-13T15.33.55EDT","",TRUE
"Snapshot",10,"nant.sites","./eepOdy_ddg/data/10-nant.sites.csv","R_GlobalEnv",FALSE,"2016-10-13T15.33.55EDT","",TRUE
"Snapshot",11,"nant","./eepOdy_ddg/data/11-nant-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-13T15.33.55EDT","",TRUE
"Snapshot",12,"nant","./eepOdy_ddg/data/12-nant-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-13T15.33.55EDT","",TRUE
"Snapshot",13,"nant","./eepOdy_ddg/data/13-nant-PARTIAL.csv","R_GlobalEnv",FALSE,"2016-10-13T15.33.55EDT","",TRUE
"Data",14,"loc","\""MuskegetIslandWest\""","R_GlobalEnv",TRUE,"","",TRUE
"Snapshot",15,"nant","./eepOdy_ddg/data/15-nant-PARTIAL.txt","R_GlobalEnv",FALSE,"2016-10-13T15.33.56EDT","",TRUE
